domain,group,authors_country_flag,work_num,std_variance_to_cen,mean_variance_to_centroid,max_variance_to_centroid,min_variance_to_centroid,Breadth
A priori and a posteriori-2,us,US,5720.0,0.81200486,9.560583,13.066437,6.8548765,9.711892595980656
A priori estimate-2,cn,CN,65.0,0.9431542,7.933277,10.519787,6.188441,6.709581640149864
A priori estimate-2,us,US,16.0,0.91662925,7.9874353,9.757196,6.960591,7.217474097297298
A value-2,cn,,,,,,,
A* search algorithm-2,cn,CN,236.0,1.2042072,7.245041,11.27235,4.9584823,5.73412318676759
A* search algorithm-2,us,US,31.0,0.92370325,8.433689,9.959692,6.453633,7.811731747401666
ABO blood group system-2,cn,CN,318.0,1.2669609,7.2553105,13.160665,4.8938713,5.795766320998737
ABO blood group system-2,us,US,1031.0,1.2895644,8.365576,13.414288,4.9556723,7.554183992307912
ABX test-2,cn,CN,26.0,0.92298484,8.847379,10.855196,7.3079944,8.725766126926132
ABX test-2,us,US,116.0,1.8614784,8.696566,13.173047,6.0475965,8.49078947704524
AKA-2,cn,CN,62.0,2.1929786,8.369257,12.852623,5.763176,7.994579596271933
AKA-2,us,US,207.0,0.9147362,9.680117,12.345534,7.5299025,10.08040015176401
ALARM-2,cn,CN,1786.0,1.1332488,7.7795215,12.079684,5.377427,6.553118217604464
ALARM-2,us,US,1217.0,1.0457522,9.0293665,12.462066,6.2482533,8.767003773514176
ANT-2,cn,CN,483.0,1.7133375,7.3327723,13.622276,4.2079873,6.007357309677019
ANT-2,us,US,780.0,1.2558937,8.589079,13.052263,5.8008666,7.962225798226939
ARM architecture-2,cn,CN,333.0,1.1915112,7.0887604,10.831587,4.197027,5.446517569360168
ARM architecture-2,us,US,92.0,0.9617882,8.034951,10.905142,5.9043894,6.891591290196217
ARM9-2,cn,CN,216.0,1.2274821,7.1171727,10.969043,4.227422,5.52689357189594
ARM9-2,us,US,10.0,0.9092144,7.018004,9.156168,5.982096,5.857890711890335
ASCII-2,cn,CN,38.0,0.9911427,8.345675,10.252472,6.367444,7.720822087392349
ASCII-2,us,US,148.0,0.86810595,9.188988,11.515771,6.538171,9.07905404353984
ASHRAE 90.1-2,cn,CN,60.0,1.0728192,7.6527915,10.036782,5.4414783,6.455623081105273
ASHRAE 90.1-2,us,US,214.0,1.2108688,7.9049687,11.568034,5.0138874,6.800655027141758
ASP.NET-2,cn,CN,58.0,1.2361816,6.599621,9.70303,4.430861,4.815645698915446
ASTRA-2,cn,CN,2.0,0.0,7.0095496,7.0095496,7.0095496,10.19594669342041
ASTRA-2,us,US,12.0,1.0127078,9.78098,12.193754,8.29644,11.088519159591556
Ab initio-2,cn,CN,3358.0,0.6622776,9.04869,11.86585,6.280982,8.474930967898004
Ab initio-2,us,US,8634.0,0.71182936,9.248804,13.640917,6.323625,8.920882596151785
Abalone-2,cn,CN,265.0,1.2538513,7.320767,10.818666,5.151194,5.8863514813348985
Abalone-2,us,US,160.0,1.1686507,8.322351,11.277264,6.2633443,7.533691677750767
Abbé-2,cn,CN,2.0,0.0,4.554328,4.554328,4.554328,4.432103037834168
Abdomen-2,cn,CN,809.0,0.8805548,8.3466215,11.518559,5.8598104,7.426841951162558
Abdomen-2,us,US,4551.0,0.94794655,8.78386,12.438097,5.5358324,8.20716986109342
Abdominal Fluid-2,cn,CN,10.0,0.5891027,6.9810576,7.83235,6.1999187,5.760961572329208
Abdominal Fluid-2,us,US,54.0,0.9240149,7.879636,9.896939,5.828279,6.74583375412297
Abdominal cavity-2,cn,CN,240.0,0.9720525,8.051193,11.284495,5.829712,6.951625485227993
Abdominal cavity-2,us,US,399.0,0.989758,8.872675,11.6709175,5.974088,8.360933441297902
Abdominal computed tomography-2,cn,CN,22.0,0.706503,8.017804,9.63282,6.912682,7.084605639631093
Abdominal computed tomography-2,us,US,73.0,0.7844658,8.264873,10.29239,6.474071,7.320551450103821
Abdominal distension-2,cn,CN,306.0,0.8395547,8.0991335,10.511456,5.8141346,6.976517041653679
Abdominal distension-2,us,US,317.0,0.9429673,8.396247,11.526577,6.21085,7.504117246978154
Abdominal mass-2,cn,CN,143.0,0.8385541,7.601129,10.483336,5.963532,6.144309005481532
Abdominal mass-2,us,US,489.0,0.9262066,8.201422,11.135782,5.1335273,7.091018014107306
Abdominal muscles-2,cn,CN,24.0,1.1144683,7.010372,9.314901,5.1914315,5.569915397875548
Abdominal muscles-2,us,US,120.0,1.0830762,8.180508,10.849329,5.7904897,7.256770669095488
Abdominal pain-2,cn,CN,1521.0,0.84804356,7.8893223,11.051724,5.5072536,6.533359524056351
Abdominal pain-2,us,US,5946.0,0.9601768,8.112472,12.0185375,4.6944475,6.913015132373815
Abdominal surgery-2,cn,CN,968.0,1.1367096,7.5416317,11.978898,4.8183417,6.150290515901276
Abdominal surgery-2,us,US,3648.0,1.2467552,8.399643,12.596721,5.2255335,7.597123074071348
Abdominal ultrasound-2,cn,CN,37.0,0.9396718,7.5435905,10.251105,5.3772564,6.26312645526977
Abdominal wall-2,cn,CN,275.0,1.1288598,7.71328,10.844865,5.3818007,6.428894995656549
Abdominal wall-2,us,US,1415.0,1.1667757,8.102067,11.633975,5.1184235,7.063427241513722
Abdominal wound-2,cn,CN,11.0,1.4585799,6.7169447,10.371877,5.0724773,5.492338050495491
Abdominal wound-2,us,US,41.0,1.0514431,7.8573647,9.578518,5.853086,6.742673105582966
Abductive reasoning-2,cn,CN,10.0,0.6337726,6.757593,7.7687445,5.8175054,5.55691144296101
Abductive reasoning-2,us,US,54.0,0.99265134,7.777865,10.8839035,5.433224,6.609672815911182
Abelian group-2,cn,CN,629.0,1.0283214,8.461808,13.496202,6.110516,7.606468278572748
Abelian group-2,us,US,1498.0,0.87070477,8.985759,12.223139,6.8123784,8.503992635374317
Abelian sandpile model-2,cn,CN,29.0,1.0311561,6.8647676,10.19242,5.3409724,5.314550075331354
Abelian sandpile model-2,us,US,40.0,1.166301,7.462167,11.472853,5.60103,6.240737301457116
Abelmoschus-2,cn,CN,61.0,1.1779351,7.0280743,9.82499,4.802166,5.481841473952855
Abelmoschus-2,us,US,15.0,1.0576258,8.466363,10.463622,7.0041475,8.195758887699682
Abiogenesis-2,cn,CN,31.0,1.0622412,7.2601514,10.337182,5.370546,5.922561561924283
Abiogenesis-2,us,US,307.0,1.1406058,7.4200687,10.346717,5.078598,6.031039423234702
Abiotic component-2,cn,CN,2137.0,1.5406508,7.8738604,12.408129,5.0261617,6.7807315639089865
Abiotic component-2,us,US,2740.0,0.84312654,9.099551,11.773268,6.358869,8.811199265765339
Ablation-2,cn,CN,4665.0,1.0458868,8.790837,12.217567,6.045823,8.212827856323955
Ablation-2,us,US,10169.0,1.1266998,8.955547,13.035902,5.5120196,8.543373448054354
Abnormality-2,cn,CN,904.0,0.91447955,9.063166,12.161252,6.2826996,8.601516501701468
Abnormality-2,us,US,4217.0,0.86658204,9.347963,12.605951,6.303569,9.120142303213868
Abort-2,cn,CN,31.0,1.6220096,7.5936027,10.973355,5.3867297,6.626130624483977
Abort-2,us,US,152.0,1.1851057,9.203213,12.869111,6.675131,9.126176142797831
Abrasive-2,cn,CN,2411.0,1.0395001,7.7947817,11.91975,5.2867484,6.480371239571255
Abrasive-2,us,US,913.0,0.97465634,8.897903,11.995102,6.040084,8.39250527109489
Abrus precatorius-2,cn,CN,2.0,3.3717478e-07,4.217245,4.2172456,4.217245,3.7433773279190063
Abrus precatorius-2,us,US,22.0,0.820029,7.545073,8.979619,5.3885255,6.334629977420292
Abscess-2,cn,CN,721.0,1.023053,7.8228726,11.203364,5.603779,6.5971533589897575
Abscess-2,us,US,4349.0,1.0500968,8.3490925,12.43479,5.5558896,7.466291049758681
Abscission-2,cn,CN,103.0,1.6245624,7.3068094,11.931635,4.6761937,5.993761983244127
Abscission-2,us,US,468.0,0.9555535,8.961057,11.901752,5.5645404,8.587003796233446
Absenteeism-2,cn,CN,56.0,1.3758806,7.138038,11.262778,4.7476344,5.716260985120542
Absenteeism-2,us,US,831.0,0.9086017,8.535153,11.491269,6.32524,7.81814470452106
Absolute configuration-2,cn,CN,1213.0,1.0761867,7.86229,12.757643,5.703842,6.647602787941764
Absolute configuration-2,us,US,999.0,0.8341364,8.681691,11.616269,6.3041053,7.9726376225451645
Absolute continuity-2,cn,CN,28.0,0.8229631,8.035179,9.613559,6.4943995,7.193413954175099
Absolute continuity-2,us,US,90.0,0.82761794,8.290184,10.518001,6.672157,7.432005245455443
Absolute deviation-2,cn,CN,337.0,0.93447137,9.3087225,11.53272,7.021669,9.28266077723508
Absolute deviation-2,us,US,389.0,1.0014199,9.553238,11.978239,6.1432915,9.794627099059383
Absolute scale-2,us,US,32.0,0.8130375,9.377744,10.958605,7.864401,9.61860947711493
Absolute threshold-2,cn,CN,2.0,3.3717478e-07,5.6698513,5.6698513,5.669851,6.871330738067627
Absolute threshold-2,us,US,115.0,0.8369271,8.731902,11.919867,6.512782,8.191408695150756
Absolute zero-2,us,US,85.0,0.773673,9.444438,10.879358,7.407938,9.51634595718518
Absoluteness-2,cn,CN,3.0,0.5826334,7.505958,8.19957,6.7739644,9.14834837118785
Absoluteness-2,us,US,5.0,1.0014536,7.5954094,9.485297,6.7965803,7.792530655860901
Absorbance-2,cn,CN,2110.0,1.0512347,8.712818,12.322035,5.9659395,8.1139138503531
Absorbance-2,us,US,4185.0,0.8257787,9.536898,12.442456,6.0283628,9.631803953384676
Absorption band-2,cn,CN,387.0,1.0962889,8.819794,11.517125,6.449127,8.244991053293589
Absorption band-2,us,US,565.0,0.6385625,9.727665,11.842807,7.9440517,9.89385103079978
Absorption capacity-2,cn,CN,118.0,1.0933368,8.3757305,10.99543,5.9327464,7.611680642508361
Absorption capacity-2,us,US,30.0,0.9957574,9.2769,11.346201,7.5325136,9.499627190270443
Absorption efficiency-2,cn,CN,93.0,1.3006902,8.7221575,11.531178,6.408615,8.260779009633893
Absorption efficiency-2,us,US,48.0,1.1910651,9.618001,12.883196,7.8458734,10.083015535211745
Absorption of water-2,cn,CN,1598.0,0.9967269,8.137509,11.645836,5.6533527,7.097258019199629
Absorption of water-2,us,US,605.0,0.9382669,9.261174,12.24728,6.937971,9.124167793942476
Absorption rate-2,cn,CN,91.0,1.1508526,8.534786,11.765021,6.1752753,7.922969702328928
