group,network,gini_degree centrality,average closeness centrality,average shortest path length,global efficiency
us,Action_movie_us,0.32675159,0.16470552900000002,6.246815011,0.176016657
cn,Action_movie_cn,0.376909341,0.209007268,5.051365014,0.23397521300000002
us,Crime_movie_us,0.300534824,0.158616111,6.46407087,0.169203561
cn,Crime_movie_cn,0.32918437300000003,0.195311079,5.310547397,0.21933684
us,Mystery_movie_us,0.252083086,0.114498722,9.026156579,0.132153914
cn,Mystery_movie_cn,0.291966467,0.181090527,5.690019935,0.20106085699999998
us,Romance_movie_us,0.292044733,0.133834071,7.745139378999999,0.145640582
cn,Romance_movie_cn,0.393157277,0.227073836,4.482959277,0.239967873
