director_writer_star_url,time_window,time_window_num,work_num_time_window,total_work_num,total_work_num_no_overlap,group,std_variance_to_cen,mean_variance_to_centroid,max_variance_to_centroid,min_variance_to_centroid,Breadth,domain
celebrity/1004856/,"[(2010, 2015), (2011, 2016), (2013, 2018), (2014, 2019), (2015, 2020)]",5,"[2, 2, 1, 1, 1]",7,4231,us,0.0858798002469441,0.4207233796343157,0.5259042245428946,0.3506028163619297,13.120643447584882,Action
celebrity/1005138/,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018)]",4,"[1, 1, 1, 1]",4,1422,us,0.0,0.0,0.0,0.0,0.0,Action
celebrity/1005268/,"[(2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]",4,"[1, 1, 1, 1]",4,1413,us,0.0,0.0,0.0,0.0,0.0,Action
celebrity/1005297/,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]",6,"[2, 2, 2, 1, 1, 1]",9,2827,us,5.551115123125783e-17,0.2901068653359436,0.2901068653359436,0.2901068653359436,5.56607195664489,Action
celebrity/1005415/,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]",6,"[1, 1, 1, 1, 2, 2]",8,2842,us,0.0805782452902011,0.2279096946432569,0.3418645419648854,0.1709322709824427,3.7730660538547056,Action
celebrity/1006955/,"[(2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]",5,"[1, 1, 1, 1, 1]",5,1420,us,0.0,0.0,0.0,0.0,1.4210854715202004e-14,Action
celebrity/1007152/,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]",6,"[7, 7, 8, 10, 8, 6]",46,11380,us,0.0677192824612186,0.1761153343470933,0.2653001986249514,0.0843057980890461,3.3010469413284227,Action
celebrity/1007251/,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]",6,"[5, 7, 7, 6, 5, 5]",35,12737,us,0.0524939908980405,0.1393492156756721,0.2198539575968296,0.074151188153834,2.1790648324900133,Action
celebrity/1008070/,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]",6,"[2, 2, 3, 3, 1, 1]",12,2827,us,0.2173097872768326,0.4261795560843333,0.6392693341265,0.1278538668253,14.258763183098722,Action
celebrity/1009179/,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]",6,"[1, 2, 2, 2, 2, 2]",11,2867,us,0.1214548643916991,0.1357906664889289,0.4073719994667868,0.0814743998933573,2.1271687531397987,Action
celebrity/1009367/,"[(2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]",5,"[1, 1, 1, 1, 1]",5,1416,us,0.0,0.0,0.0,0.0,0.0,Action
celebrity/1009396/,"[(2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]",4,"[1, 1, 1, 1]",4,1417,us,0.0,0.0,0.0,0.0,0.0,Action
