degree_average_cor,degree_std_cor,domain,group,closeness centrality_average_cor,closeness centrality_std_cor,betweeness centrality_average_cor,betweeness centrality_std_cor
0.8939501784568815,0.0347454684525734,Action,cn,0.8910256614037368,0.0418851034477986,0.8349219361116764,0.0504944568620999
0.915399254763801,0.0062224693081202,Action,us,0.8733971801451716,0.0335406381360949,0.8386418968152023,0.0117126861680087
0.948004423709114,0.0358051637202125,Adventure,cn,0.7079347539045132,0.2767671243863129,0.8738592596468227,0.0724434192933398
0.8532231659998809,0.0497178231802088,Adventure,us,0.523438326842559,0.2953915611119581,0.7677921824984353,0.0468090079656476
0.8726035594408682,0.0633708344948254,Animation,cn,0.7616331484422848,0.1751064236207629,0.7989593700465605,0.1274962848525667
0.859790122664657,0.0645440818902639,Animation,us,0.3790673006684787,0.3144154947314034,0.8173218280648366,0.085936045078917
0.9167341854566587,0.0832658145433412,Biography,cn,0.9091733887069676,0.0908266112930325,0.9128666609172672,0.0871333390827328
0.8986178068483174,0.0496212516054847,Biography,us,0.7385095512648892,0.1584784439237458,0.7786150101425945,0.11176797551446
0.8974542907734422,0.0172232334881058,Comedy,cn,0.8439768527296758,0.0483478637015967,0.8261954981710982,0.030890632893254
0.8918671555883957,0.0104903011881383,Comedy,us,0.9019221210279802,0.013989209720532,0.8234521518344324,0.0129395897229458
0.8533936965509614,0.0207938355537508,Crime,cn,0.833439490212134,0.0896498972177224,0.7761807264398315,0.0350898276179535
0.9094685866605812,0.0148752456729354,Crime,us,0.7194017857031823,0.0865703402061489,0.842430157624958,0.0229959003782416
0.935772009406476,0.0065079623613387,Documentary,us,0.7790281951314775,0.0594852513677167,0.8609826723531315,0.0108427618184813
0.8707851770825974,0.0149941478884343,Drama,cn,0.8941936073588653,0.0248264451329961,0.806685701199904,0.0074467764047182
0.895308186389166,0.0089501583589472,Drama,us,0.8873617707300608,0.0106179281557777,0.8418303926578771,0.0116848082288834
0.939431702920832,0.0556524693226924,Family,cn,0.8374723455975954,0.0622165445366973,0.9138658420690424,0.0772142267695819
0.932840189593544,0.013456356190872,Family,us,0.7341502080141218,0.0891065229289157,0.8882309970730397,0.0302250100574456
0.8932062619446182,0.02521938255804,Fantasy,cn,0.7519091455254265,0.2106689542906631,0.7631496557637765,0.0901231262888362
0.8666011896571619,0.0254877119843293,Fantasy,us,0.8881223443735566,0.0232926545150023,0.807407736572227,0.0144292574375748
0.8601053270136756,0.030885461663448,History,cn,0.8092566103259964,0.094635877415288,0.7742371071229285,0.0307982776178649
0.9199782686678976,0.0048869189294517,Horror,us,0.872252515783505,0.0288748504907655,0.8429355493816836,0.0075685339740213
0.7515103565724152,0.200425685902131,Music,cn,0.6728056850550389,0.240722022066184,0.7515103565724152,0.200425685902131
0.8729819401571609,0.0437372416452947,Music,us,0.9400723951569302,0.0457308599608022,0.8029069119743223,0.064486273815711
0.9708884520870618,0.0261696102093995,Musical,us,0.9341641510746824,0.0606966977076136,0.8732476800143616,0.0801104963869734
0.8922749820134198,0.0355958552054776,Mystery,cn,0.7993433462510898,0.1312713974549152,0.814811178892441,0.014420610854944
0.9358565694598528,0.0520851048671605,Mystery,us,0.8702047640728234,0.1025464136035105,0.9170716393946422,0.0636094282644492
0.854832435590197,0.0926169855883269,Reality-TV,cn,0.6878238711989278,0.2471251160112569,0.749540472782291,0.1591976067633354
0.8791709478974475,0.0105424625811623,Romance,cn,0.8777956250053229,0.0263206587441964,0.803069883054442,0.0166496269793503
0.8920071014427716,0.0281164162324069,Romance,us,0.6798124817364142,0.2126655030914238,0.8162965030141637,0.0249330603617927
0.9541136439299386,0.0648931070821618,Sci-Fi,cn,0.9230411689353848,0.1088362226359588,0.9655975369670724,0.048652429800205
0.966531730767227,0.0262217637221173,Sci-Fi,us,0.984480737693456,0.0194215542279039,0.901152139469471,0.0797816194462815
0.9964912280701756,0.0049621528504318,Sport,cn,0.9991216497688512,0.0012421748094043,0.9983291457022064,0.0023629448086887
0.9402184881716396,0.0356075810221934,Sport,us,0.9147550132535296,0.0527285244992967,0.8353100825681772,0.0739865587388435
0.9437409685317948,0.0601271954131968,Thriller,cn,0.8452281907914493,0.1331277064822615,0.8618960122565014,0.1117876848869416
0.8947710463179396,0.0096083247241035,Thriller,us,0.8392949915409911,0.031264904552557,0.8235129641369969,0.0084319009977566
0.8952468457241073,0.1212634632398726,War,cn,0.8399188788425355,0.1211972278726106,0.8778774035009232,0.1186222799286141
0.962868189374428,0.0209645842015584,War,us,0.9245540131292174,0.0334261418766523,0.7429423556266984,0.1973836183219446
0.8976672464190724,0.1447203679891318,Western,us,0.8996730693474619,0.1418837060000844,0.8977314347398687,0.1446295919953154
