inventors_id,time_window,patent_id,time_window_num,patent_num_time_window,total_patent_num,total_patent_num_no_overlap,group,std_variance_to_cen,mean_variance_to_centroid,max_variance_to_centroid,min_variance_to_centroid,Breadth,domain
fl:an_ln:long-4,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019)]","[[8043272, 8044363, 8383875, 8866624], [8043272, 8044363, 8383875, 8866624], [8383875, 8866624], [8383875, 8866624], [8866624]]",5,"[4, 4, 2, 2, 1]",13,4,us,0.7282971143722534,2.469612598419189,3.772802829742432,1.780083417892456,0.6284219026565552,G01-1
fl:an_ln:lookingbill-1,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[8635023, 8843304, 8954276, 9146117, 9170112], [8635023, 8843304, 8954276, 9146117, 9170112, 9291459, 9311819], [8635023, 8843304, 8954276, 9146117, 9170112, 9291459, 9311819, 9766078], [8635023, 8843304, 8954276, 9146117, 9170112, 9291459, 9311819, 9766078], [8635023, 8843304, 8954276, 9146117, 9170112, 9291459, 9311819, 9766078], [8954276, 9146117, 9170112, 9291459, 9311819, 9766078]]",6,"[5, 7, 8, 8, 8, 6]",42,8,us,0.5855300426483154,0.7167766094207764,1.8570530414581297,0.2631438374519348,0.0792745749155727,G01-1
fl:an_ln:lopatenko-1,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[8433512, 8566029, 9057616, 9057617], [8433512, 8566029, 9057616, 9057617], [8433512, 8566029, 9057616, 9057617], [8433512, 8566029, 9057616, 9057617], [9057616, 9057617], [9057616, 9057617]]",6,"[4, 4, 4, 4, 2, 2]",20,4,us,0.234766736626625,0.6640207171440125,0.9960310459136964,0.4980155825614929,0.0428940852483066,G01-1
fl:an_ln:lourdhusamy-1,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[8671736, 8713991], [8671736, 8713991], [8671736, 8713991, 9541535, 9581564], [8671736, 8713991, 9541535, 9581564, '9857239', '9857325', '9857326'], [10175214, 8671736, 8713991, 9541535, 9581564, '9857239', '9857325', '9857326'], [10175214, 9541535, 9581564, '9857239', '9857325', '9857326']]",6,"[2, 2, 4, 7, 8, 6]",29,8,us,0.8207567930221558,3.4314658641815186,4.530210018157959,2.399643659591675,1.1638263861338345,G01-1
fl:an_ln:luczak-1,"[(2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[9354242], [9354242], [10107809, 9354242], [10107809, 9354242], [10107809, 9354242]]",5,"[1, 1, 2, 2, 2]",8,2,us,0.0985268950462341,0.4826802313327789,0.6033505201339722,0.4022333323955536,0.0232547521591186,G01-1
fl:an_ln:lundberg-6,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[8861822, 8956296], [8861822, 8956296], [8861822, 8956296, 9731323], [8861822, 8956296, 9731323], [8861822, 8956296, 9731323], [8956296, 9731323]]",6,"[2, 2, 3, 3, 3, 2]",15,3,us,1.1448267698287964,2.044684171676636,3.693481683731079,0.9316385388374328,0.5033447345097954,G01-1
fl:an_ln:kelley-3,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019)]","[[8555731, 8739638], [8555731, 8739638], [8555731, 8739638], [8555731, 8739638], [8739638]]",5,"[2, 2, 2, 2, 1]",9,2,us,0.98861163854599,1.318148851394653,3.295372009277344,0.8238430023193359,0.2445852756500244,G01-1
fl:al_ln:mcdonald-9,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[9000129], [9000129, 9273146], [9000129, 9273146], [9000129, 9273146], [9000129, 9273146], [9000129, 9273146]]",6,"[1, 2, 2, 2, 2, 2]",11,2,us,0.0,1.1246482927163015e-06,1.1246482927163015e-06,1.1246482927163015e-06,0.0,G01-1
fl:an_ln:gabrys-2,"[(2010, 2015), (2011, 2016), (2013, 2018), (2014, 2019), (2015, 2020)]","[[8056246], [8056246], [10067201, 10162016], [10067201, 10162016, 10184991, 10191083], [10067201, 10162016, 10184991, 10191083]]",5,"[1, 1, 2, 4, 4]",12,5,us,0.700228750705719,4.079996585845947,4.845316410064697,3.281333446502685,1.6310960054397583,G01-1
fl:an_ln:galluscio-1,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018)]","[[7756134, 8516153], [8516153], [8516153], [8516153]]",4,"[2, 1, 1, 1]",5,2,us,0.759806215763092,1.3160231113433838,2.6320459842681885,0.8773487210273743,0.2277940511703491,G01-1
